symbol,first_traded,last_traded,n_days,isin,continuity_id,company_name,listing_date,active_flag,status
DFMFOODS,2016-12-29,2023-03-27,1542,,DFMFOODS,,,,inactive
DGCONTENT,2019-07-02,2026-06-10,1055,INE03JI01017,DGCONTENT,DIGICONTENT LIMITED,2019-06-18,True,active
DHAMPURSUG,2010-06-10,2026-06-10,3878,INE041A01016,DHAMPURSUG,DHAMPUR SUGAR MILLS LIMITED,1995-03-29,True,active
DHANBANK,2010-06-10,2026-06-10,3788,INE680A01011,DHANBANK,DHANLAXMI BANK LIMITED,2004-04-01,True,active
DHANI,2020-10-28,2025-10-27,1182,,DHANI,,,,inactive
DHANUKA,2011-06-29,2026-06-10,3682,INE435G01025,DHANUKA,DHANUKA AGRITECH LIMITED,2011-06-29,True,active
DHANUS,2010-06-10,2013-07-18,425,,DHANUS,,,,inactive
DHANVARSHA,2022-05-10,2022-08-30,79,,DHANVARSHA,,,,inactive
DHARAMSI,2021-12-01,2022-11-01,229,,DHARAMSI,,,,inactive
DHARMAJ,2022-12-08,2026-06-10,802,INE00OQ01016,DHARMAJ,DHARMAJ CROP GUARD LIMITED,2022-12-08,True,active
DHARSUGAR,2010-06-10,2022-05-24,2449,,DHARSUGAR,,,,inactive
